2020-09-20	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-07-15	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2019-10-27	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2019-10-30	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-07-12	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-07-08	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-07-05	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-07-01	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-06-27	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-06-24	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-06-21	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-06-14	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-06-10	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-06-07	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-06-03	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-05-31	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-05-27	ST	Night	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Night Race
2020-05-24	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - Standard Chartered Day
2020-05-20	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-05-17	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-05-13	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-05-09	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-05-06	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-05-03	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-04-29	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-04-26	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - FWD Champions Day
2020-04-22	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-04-19	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-04-15	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-04-12	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-04-08	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-04-05	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-04-01	ST	Night	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Night Race
2020-03-29	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-03-25	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
